Cohort ID	Likelihood Weights	Mortality Prob
0	8.152818205312208e-28	0.1334044009405148
1	2.6171875317254333e-63	0.19406489868843163
2	1.3092552868460417e-05	0.05002287496346898
3	5.23037093320676e-10	0.11046651452636796
4	0.009936827928188532	0.07935117816342262
5	0.016617395498032168	0.06846771895375957
6	0.00017027802719524988	0.08725204227553418
7	2.695625400644471e-18	0.11911214540860955
8	5.223197756934723e-25	0.129353494846134
9	1.5947312819602478e-36	0.1577633468006714
10	7.333453813699083e-30	0.13383890288065897
11	5.1524239945839465e-74	0.1870439000793519
12	7.852673519813822e-05	0.09089044994630349
13	7.62971486720466e-93	0.2256234872781891
14	0.0015236581766824506	0.055477518639585235
15	6.453962488104753e-68	0.18409350203568048
16	1.3626267033374803e-24	0.1334609604734254
17	1.3099210500263113e-44	0.16173796568915033
18	0.015189395273044167	0.07807738771904676
19	0.0006732673425750557	0.08962029781697577
20	1.6253310844210186e-80	0.21014891373510736
21	1.2928631836753089e-118	0.24365231514387953
22	3.764841778348539e-15	0.11268483563184857
23	2.6015533773181474e-68	0.1884645231338628
24	2.3943831863811864e-93	0.22527783045920768
25	1.8583926404769108e-97	0.22892133270076948
26	0.0019303855213669992	0.0670088422739556
27	0.001717799795570687	0.05781095664657648
28	0.00012580272541174077	0.08396608391291378
29	5.5553214961316353e-98	0.22562850068588264
30	0.016174620108337756	0.06966936676661002
31	6.601256371503425e-20	0.13422152500101042
32	3.0549944088858906e-119	0.24157790603010038
33	1.7919463611203104e-39	0.15663305699460342
34	1.0450884165142835e-75	0.18837542279009467
35	4.497290646256008e-12	0.1131031262012126
36	1.9425687827812146e-55	0.18730018553631672
37	2.0503502237843613e-88	0.21692513437947458
38	3.767962100072973e-05	0.05365765546883836
39	6.135725318560934e-72	0.20002886298899353
40	1.6687369769341542e-120	0.24777221778129893
41	2.045438966025885e-96	0.1996331308759679
42	6.990173827813674e-11	0.10608879841288105
43	6.182412321800254e-97	0.20785586569029774
44	0.013497670489337043	0.07064520131552841
45	3.222501063752562e-25	0.13957870523518104
46	7.62971486720466e-93	0.2317191006186191
47	1.736034864903986e-13	0.1087228296747359
48	4.4441012417724094e-14	0.10755506771726975
49	0.013019982491501275	0.07600571442365554
50	0.00038245937870129675	0.05387339157405942
51	2.775266397204902e-59	0.18576710658797818
52	2.4731848864133808e-06	0.09232562320001181
53	9.970485094140317e-09	0.10310933187444525
54	3.096357749279102e-32	0.14831463185606766
55	0.013473223309525766	0.06067250902341608
56	2.072303681305308e-46	0.16482352109840262
57	0.0025688058657225006	0.07934571498116204
58	2.8086231658269833e-42	0.16786110738065685
59	3.357269655714668e-65	0.18995167200418622
60	0.012526745537979077	0.07046688576556517
61	8.64667290187852e-22	0.13281119756391369
62	6.608534806855984e-70	0.18888003154554905
63	7.771690397071585e-21	0.13283585390538055
64	0.007089626975533352	0.05999069178921743
65	5.033863618628114e-40	0.15717928118310232
66	1.632710183224692e-57	0.1827589290439578
67	5.71995589399823e-33	0.15297782241166172
68	1.614010868128623e-112	0.2389189511981627
69	1.0016513889638533e-43	0.1673110081003986
70	7.62971486720466e-93	0.2306803830575767
71	0.013497670489337043	0.07749494082924752
72	0.004406916742639576	0.07785526945015171
73	3.507476768697579e-79	0.21147825774190476
74	9.087600851772904e-23	0.12953536739710672
75	0.0018981695859969403	0.08307083942338656
76	7.482770367951281e-108	0.23550171607920678
77	1.95811951820296e-17	0.11955317194910131
78	4.03582931211278e-71	0.2001624206272311
79	2.6015533773181474e-68	0.19519959707009032
80	4.881630777856382e-99	0.22666121824116198
81	6.61091867369025e-45	0.17473444141112177
82	4.545220419321262e-80	0.20018848680546747
83	1.2649419229731182e-15	0.11977966839556851
84	3.857354056472291e-11	0.10398557835300522
85	7.474691919292467e-94	0.22917724363921338
86	6.214925340136567e-27	0.13561823797425898
87	5.431861389348645e-118	0.2429680094296771
